detid_Y,BP2_D1,BP2_D2,BP2_D3,BP4_D1(1),BP4_D10(3),BP4_D2(1),BP4_D3(2),BP4_D4(2),BP4_D5(2),BP4_D6(4),BP4_D8(3),BP4_D9(3),FA6_D10,FA6_D11,FA6_D14,FA6_D15,FA6_D16,FA6_D17,FA6_D18,FA6_D19,FA6_D2,FA6_D24,FA6_D25,FA6_D27,FA6_D28,FA6_D29,FA6_D3,FA6_D30,FA6_D31,FA6_D32,FA6_D33,FA6_D34,FA6_D35,FA6_D36,FA6_D37,FA6_D38,FA6_D4,FA6_D5,FA6_D6,FA6_D7,FA6_D8,FA6_D9,G3_D1(KFZ1),G3_D2(KFZ1),G3_D3(KFZ2),G3_D4(KFZ2),G3_D5(KFZ3),HB1_D1,HB1_D13,HB1_D14,HB1_D15,HB1_D16,HB1_D17,HB1_D2,HB1_D3,HB1_D4,HB1_D5,HB1_D6,HB1_D7,HB1_D8,HB4_D1(KFZ4),HB4_D2(KFZ4),MUE3_D2(KFZ),MUE3_D3(KFZ),PR1_D1,PR1_D10,PR1_D11,PR1_D2,PR1_D3,PR1_D4,PR1_D5,PR1_D6,PR1_D7,PR1_D8,PR1_D9,PR3_D1(KFZ1),PR3_D2(KFZ1),PR3_D3(KFZ2),SD_D1(KFZ1),SD_D2(KFZ2),SD_D3(KFZ3),SHO_D1(KFZ1),SHO_D2(KFZ4),STA1_D1(KFZ4),STA1_D2(KFZ4),STA1_D8(KFZ5),STA1_D9(KFZ5),STA2_D2(KFZ4),STA2_D3(KFZ4),STA2_D4(KFZ4),STA2_D5(KFZ3),STA2_D6(KFZ3),STA2_D7(KFZ3),STA2_D8(KFZ3),STA4_D1(KFZ1),STA4_D1a(KFZ1),STA4_D2(KFZ2),STA4_D2a(KFZ2),STA4_D4(KFZ4),STA4_D4a(KFZ4),STA4_D6(KFZ6),STA4_D6a(KFZ6),STA4_D8(KFZ8),STA4_D8a(KFZ8),STA4_D9(KFZ9),STA4_D9a(KFZ9),T1_D1,T1_D2,T1_D3,T1_D4,WL2_D1(KFZ1),WL2_D2(KFZ3)
BP2_D1,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP2_D2,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP2_D3,0.00,0.00,0.00,142.86,140.31,142.86,142.86,142.86,142.86,136.66,140.31,140.31,1277.34,1277.34,1769.35,1769.35,1769.35,1769.35,1769.35,1769.35,1249.45,1769.35,1769.35,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1249.45,1389.43,1389.43,1389.43,1389.43,1389.43,1389.43,1249.45,1249.45,1249.45,1249.45,1277.34,1277.34,584.21,412.26,402.30,394.41,394.41,688.66,1000.10,1000.10,1000.10,1141.69,1141.69,688.66,688.66,728.37,728.37,875.40,875.40,728.37,412.83,412.83,865.54,865.54,1321.35,1069.67,1069.67,1321.35,1321.35,1023.33,1023.33,1023.33,1023.33,1069.67,1069.67,1888.16,1888.16,1888.16,1300.20,1344.66,1344.66,816.64,816.64,704.86,704.86,734.15,734.15,839.07,839.07,839.07,837.81,837.81,837.81,837.81,1127.93,1127.93,1127.93,1127.93,1067.39,1731.22,1104.90,1104.90,1138.29,1138.29,1431.78,1431.78,815.21,815.21,815.21,815.21,693.83,693.83
BP4_D1(1),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D10(3),239.49,239.49,239.49,62.24,0.00,62.24,62.24,62.24,62.24,56.04,0.00,0.00,1247.40,1247.40,1739.42,1739.42,1739.42,1739.42,1739.42,1739.42,1219.52,1739.42,1739.42,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1359.50,1359.50,1359.50,1359.50,1359.50,1359.50,1219.52,1219.52,1219.52,1219.52,1247.40,1247.40,554.28,382.32,372.36,364.47,364.47,658.72,970.17,970.17,970.17,1111.76,1111.76,658.72,658.72,698.43,698.43,845.46,845.46,698.43,382.90,382.90,835.61,835.61,1291.41,1039.74,1039.74,1291.41,1291.41,993.39,993.39,993.39,993.39,1039.74,1039.74,1858.22,1858.22,1858.22,1270.27,1314.72,1314.72,786.71,786.71,674.92,674.92,704.22,704.22,809.13,809.13,809.13,807.88,807.88,807.88,807.88,1098.00,1098.00,1098.00,1098.00,1037.46,1701.28,1074.97,1074.97,1108.35,1108.35,1401.85,1401.85,785.27,785.27,785.27,785.27,663.90,663.90
BP4_D2(1),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D3(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D4(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D5(2),635.03,635.03,635.03,0.00,395.55,0.00,0.00,0.00,0.00,391.90,395.55,395.55,1185.16,1185.16,1677.17,1677.17,1677.17,1677.17,1677.17,1677.17,1157.28,1677.17,1677.17,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1157.28,1297.25,1297.25,1297.25,1297.25,1297.25,1297.25,1157.28,1157.28,1157.28,1157.28,1185.16,1185.16,492.03,320.08,310.12,302.23,302.23,596.48,907.92,907.92,907.92,1049.51,1049.51,596.48,596.48,636.19,636.19,783.22,783.22,636.19,320.65,320.65,773.36,773.36,1229.17,977.49,977.49,1229.17,1229.17,931.15,931.15,931.15,931.15,977.49,977.49,1795.98,1795.98,1795.98,1208.02,1252.48,1252.48,724.46,724.46,612.68,612.68,641.97,641.97,746.89,746.89,746.89,745.63,745.63,745.63,745.63,1035.75,1035.75,1035.75,1035.75,975.21,1639.04,1012.72,1012.72,1046.11,1046.11,1339.60,1339.60,723.03,723.03,723.03,723.03,601.65,601.65
BP4_D6(4),669.51,669.51,669.51,34.47,430.02,34.47,34.47,34.47,34.47,0.00,430.02,430.02,1219.63,1219.63,1711.64,1711.64,1711.64,1711.64,1711.64,1711.64,1191.75,1711.64,1711.64,1191.75,1191.75,1191.75,1191.75,1191.75,1191.75,1191.75,1331.72,1331.72,1331.72,1331.72,1331.72,1331.72,1191.75,1191.75,1191.75,1191.75,1219.63,1219.63,526.51,354.55,344.59,336.70,336.70,630.95,942.40,942.40,942.40,1083.98,1083.98,630.95,630.95,670.66,670.66,817.69,817.69,670.66,355.13,355.13,807.83,807.83,1263.64,1011.97,1011.97,1263.64,1263.64,965.62,965.62,965.62,965.62,1011.97,1011.97,1830.45,1830.45,1830.45,1242.50,1286.95,1286.95,758.94,758.94,647.15,647.15,676.44,676.44,781.36,781.36,781.36,780.10,780.10,780.10,780.10,1070.22,1070.22,1070.22,1070.22,1009.69,1673.51,1047.20,1047.20,1080.58,1080.58,1374.08,1374.08,757.50,757.50,757.50,757.50,636.12,636.12
BP4_D8(3),239.49,239.49,239.49,62.24,0.00,62.24,62.24,62.24,62.24,56.04,0.00,0.00,1247.40,1247.40,1739.42,1739.42,1739.42,1739.42,1739.42,1739.42,1219.52,1739.42,1739.42,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1359.50,1359.50,1359.50,1359.50,1359.50,1359.50,1219.52,1219.52,1219.52,1219.52,1247.40,1247.40,554.28,382.32,372.36,364.47,364.47,658.72,970.17,970.17,970.17,1111.76,1111.76,658.72,658.72,698.43,698.43,845.46,845.46,698.43,382.90,382.90,835.61,835.61,1291.41,1039.74,1039.74,1291.41,1291.41,993.39,993.39,993.39,993.39,1039.74,1039.74,1858.22,1858.22,1858.22,1270.27,1314.72,1314.72,786.71,786.71,674.92,674.92,704.22,704.22,809.13,809.13,809.13,807.88,807.88,807.88,807.88,1098.00,1098.00,1098.00,1098.00,1037.46,1701.28,1074.97,1074.97,1108.35,1108.35,1401.85,1401.85,785.27,785.27,785.27,785.27,663.90,663.90
BP4_D9(3),239.49,239.49,239.49,62.24,0.00,62.24,62.24,62.24,62.24,56.04,0.00,0.00,1247.40,1247.40,1739.42,1739.42,1739.42,1739.42,1739.42,1739.42,1219.52,1739.42,1739.42,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1219.52,1359.50,1359.50,1359.50,1359.50,1359.50,1359.50,1219.52,1219.52,1219.52,1219.52,1247.40,1247.40,554.28,382.32,372.36,364.47,364.47,658.72,970.17,970.17,970.17,1111.76,1111.76,658.72,658.72,698.43,698.43,845.46,845.46,698.43,382.90,382.90,835.61,835.61,1291.41,1039.74,1039.74,1291.41,1291.41,993.39,993.39,993.39,993.39,1039.74,1039.74,1858.22,1858.22,1858.22,1270.27,1314.72,1314.72,786.71,786.71,674.92,674.92,704.22,704.22,809.13,809.13,809.13,807.88,807.88,807.88,807.88,1098.00,1098.00,1098.00,1098.00,1037.46,1701.28,1074.97,1074.97,1108.35,1108.35,1401.85,1401.85,785.27,785.27,785.27,785.27,663.90,663.90
FA6_D10,1760.05,1760.05,1760.05,1646.24,1584.00,1646.24,1646.24,1646.24,1646.24,1640.04,1584.00,1584.00,0.00,0.00,1234.58,1234.58,1234.58,1234.58,1234.58,1234.58,1254.77,1234.58,1234.58,1254.77,1254.77,1254.77,1254.77,1254.77,1254.77,1254.77,112.09,112.09,112.09,112.09,112.09,112.09,1254.77,1254.77,1254.77,1254.77,0.00,0.00,2081.52,1909.57,1899.61,1891.71,1891.71,1325.88,1390.84,1390.84,1390.84,1302.46,1302.46,1325.88,1325.88,1923.95,1923.95,1257.00,1257.00,1923.95,1636.85,1636.85,1875.96,1875.96,978.10,1110.31,1110.31,978.10,978.10,1034.47,1034.47,1034.47,1034.47,1110.31,1110.31,1353.39,1353.39,1353.39,2797.51,2841.97,2841.97,2313.95,2313.95,2202.16,2202.16,2231.46,2231.46,2336.37,2336.37,2336.37,2335.12,2335.12,2335.12,2335.12,2625.24,2625.24,2625.24,2625.24,2564.70,3228.52,2602.21,2602.21,2635.59,2635.59,2929.09,2929.09,1452.43,1452.43,1452.43,1452.43,1920.61,1920.61
FA6_D11,1760.05,1760.05,1760.05,1646.24,1584.00,1646.24,1646.24,1646.24,1646.24,1640.04,1584.00,1584.00,0.00,0.00,1234.58,1234.58,1234.58,1234.58,1234.58,1234.58,1254.77,1234.58,1234.58,1254.77,1254.77,1254.77,1254.77,1254.77,1254.77,1254.77,112.09,112.09,112.09,112.09,112.09,112.09,1254.77,1254.77,1254.77,1254.77,0.00,0.00,2081.52,1909.57,1899.61,1891.71,1891.71,1325.88,1390.84,1390.84,1390.84,1302.46,1302.46,1325.88,1325.88,1923.95,1923.95,1257.00,1257.00,1923.95,1636.85,1636.85,1875.96,1875.96,978.10,1110.31,1110.31,978.10,978.10,1034.47,1034.47,1034.47,1034.47,1110.31,1110.31,1353.39,1353.39,1353.39,2797.51,2841.97,2841.97,2313.95,2313.95,2202.16,2202.16,2231.46,2231.46,2336.37,2336.37,2336.37,2335.12,2335.12,2335.12,2335.12,2625.24,2625.24,2625.24,2625.24,2564.70,3228.52,2602.21,2602.21,2635.59,2635.59,2929.09,2929.09,1452.43,1452.43,1452.43,1452.43,1920.61,1920.61
FA6_D14,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D15,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D16,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D17,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D18,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D19,1575.67,1575.67,1575.67,1461.86,1399.62,1461.86,1461.86,1461.86,1461.86,1455.66,1399.62,1399.62,29.78,29.78,0.00,0.00,0.00,0.00,0.00,0.00,20.19,0.00,0.00,20.19,20.19,20.19,20.19,20.19,20.19,20.19,141.87,141.87,141.87,141.87,141.87,141.87,20.19,20.19,20.19,20.19,29.78,29.78,1670.52,1498.56,1488.60,1480.71,1480.71,819.56,884.52,884.52,884.52,796.13,796.13,819.56,819.56,1417.63,1417.63,964.23,964.23,1417.63,1130.53,1130.53,1369.64,1369.64,471.78,603.99,603.99,471.78,471.78,528.15,528.15,528.15,528.15,603.99,603.99,1383.17,1383.17,1383.17,2421.16,2465.61,2465.61,1881.03,1881.03,1825.81,1825.81,1855.10,1855.10,1960.02,1960.02,1960.02,1958.76,1958.76,1958.76,1958.76,2248.89,2248.89,2248.89,2248.89,2188.35,2852.17,2225.86,2225.86,2259.24,2259.24,2552.74,2552.74,946.11,946.11,946.11,946.11,1414.29,1414.29
FA6_D2,1555.48,1555.48,1555.48,1441.67,1379.43,1441.67,1441.67,1441.67,1441.67,1435.47,1379.43,1379.43,27.89,27.89,1262.47,1262.47,1262.47,1262.47,1262.47,1262.47,0.00,1262.47,1262.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.98,139.98,139.98,139.98,139.98,139.98,0.00,0.00,0.00,0.00,27.89,27.89,1650.33,1478.37,1468.41,1460.52,1460.52,799.37,864.33,864.33,864.33,775.94,775.94,799.37,799.37,1397.44,1397.44,944.04,944.04,1397.44,1110.34,1110.34,1349.45,1349.45,451.59,583.80,583.80,451.59,451.59,507.96,507.96,507.96,507.96,583.80,583.80,1381.28,1381.28,1381.28,2400.97,2445.42,2445.42,1860.84,1860.84,1805.62,1805.62,1834.91,1834.91,1939.83,1939.83,1939.83,1938.57,1938.57,1938.57,1938.57,2228.70,2228.70,2228.70,2228.70,2168.16,2831.98,2205.66,2205.66,2239.05,2239.05,2532.55,2532.55,925.92,925.92,925.92,925.92,1394.10,1394.10
