detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
ig11FD116_D20,0.117622605755175,0.042476931131866,primary,Baselstrasse,0,luzern,1,91,8.2970662,47.0521407
ig11FD116_D15,0.084304613395923,0.043320630438901,primary,Baselstrasse,0,luzern,1,92,8.2970381,47.0521078
ig11FD116_D35,0.268815714824,0.22362392624425,primary,Baselstrasse,0,luzern,1,90,8.2971145,47.0521918
ig11FD116_D34,0.11348333835617,0.068332388524665,primary,Baselstrasse,0,luzern,1,89,8.2971293,47.0522229
ig11FD116_D30,0.097651051543157,0.034251934100282,primary,Gütschstrasse,50,luzern,1,83,8.2982062,47.0523883
ig11FD116_D25,0.098785204475424,0.034766390660782,primary,Gütschstrasse,50,luzern,1,82,8.298174,47.0524038
ig11FD116_D33,0.170677071363512,0.108890889782684,primary,Baselstrasse,50,luzern,1,54,8.298866,47.0518035
ig11FD100_D31,0.204483145661009,0.155278235457219,primary,Seebrücke,50,luzern,1,1,8.3092234,47.0514343
ig11FD100_D32,0.202738339518537,0.174769420257969,primary,Seebrücke,50,luzern,1,2,8.3091731,47.0514375
ig11FD100_D33,0.116316471448625,0.103917994520274,primary,Bahnhofplatz,50,luzern,1,6,8.3090309,47.0501258
ig11FD100_D3,0.481799089406162,0.030939965504593,secondary,Zentralstrasse,0,luzern,1,9,8.3094258,47.0496698
ig11FD100_D4,0.483728092717304,0.453610709899381,secondary,Zentralstrasse,0,luzern,1,10,8.3093843,47.0496689
ig11FD100_D34,0.027157169262679,0.020328641586795,secondary,Zentralstrasse,0,luzern,1,7,8.3093722,47.050007
ig11FD100_D35,0.029404514182859,0.021458366399622,secondary,Zentralstrasse,0,luzern,1,8,8.3093145,47.050008
ig11FD100_D38,0.034515683888919,0.034515683888919,primary,Bahnhofplatz,0,luzern,1,13,8.3091483,47.0501185
ig11FD100_D37,0.035858806883688,0.032328166800398,primary,Bahnhofplatz,0,luzern,1,14,8.309167,47.0500801
ig11FD100_D40,0.11323368801833,0.110052958139713,primary,Seebrücke,50,luzern,1,4,8.3091187,47.0511584
ig11FD100_D41,0.117499561589377,0.114076712228119,primary,Seebrücke,50,luzern,1,3,8.309155,47.0512498
ig11FD100_D42,0.063160900041058,0.014549838659382,other,Bahnhofplatz,0,luzern,1,0,8.3096069,47.0510643
ig11FD100_D39,0.034308235110954,0.032041139590024,other,Bahnhofstrasse,0,luzern,1,5,8.3089109,47.0510414
ig11FD100_D43,0.34139030850829,0.068834677493505,other,Robert-Zünd-Strasse,0,luzern,1,12,8.3114764,47.0499513
ig11FD100_D44,0.335153868958885,0.277059264139164,other,Robert-Zünd-Strasse,0,luzern,1,11,8.3114013,47.0499513
ig11FD103_D3,0.124725031373163,0.10024352863345,primary,Pilatusstrasse,50,luzern,1,15,8.3075463,47.0495177
ig11FD103_D2,0.149604900327317,0.027645043496292,primary,Pilatusstrasse,50,luzern,1,18,8.3074209,47.0494227
ig11FD103_D6,0.116316471448625,0.037646341927063,primary,Pilatusstrasse,50,luzern,1,6,8.3082873,47.0498151
ig11FD104_D6,0.149672929182786,0.07629556248815,primary,Pilatusstrasse,50,luzern,1,17,8.3069435,47.0492066
ig11FD104_D5,0.052538765654377,0.046885578531568,primary,Pilatusstrasse,50,luzern,1,16,8.3069549,47.049255
ig11FD104_D43,0.084772951292673,0.030337072452194,primary,Pilatusstrasse,50,luzern,1,20,8.3059699,47.0486674
ig11FD104_D42,0.083767418031119,0.031038393003365,primary,Pilatusstrasse,50,luzern,1,19,8.305951,47.0487012
ig11FD104_D44,0.113525642425544,0.084768333219338,tertiary,Hirschmattstrasse,0,luzern,1,81,8.3065452,47.0484664
ig11FD104_D17,0.11364475553427,0.028282772785039,tertiary,Hirschmattstrasse,0,luzern,1,80,8.3065841,47.0484856
ig11FD104_D16,0.113049910181947,0.028981876274225,tertiary,Hirschmattstrasse,0,luzern,1,79,8.306627,47.0484947
ig11FD105_D7,0.056206039626046,0.050856619961492,primary,Pilatusstrasse,50,luzern,1,22,8.3056171,47.0484724
ig11FD105_D5,0.115057912201177,0.103523754313784,primary,Pilatusstrasse,50,luzern,1,24,8.3052778,47.0484362
ig11FD105_D6,0.115885990812372,0.104500808835585,primary,Pilatusstrasse,50,luzern,1,25,8.3052973,47.048407
ig11FD106_D12,0.107717297613438,0.09347594032174,primary,Pilatusstrasse,50,luzern,1,27,8.3043129,47.0479391
ig11FD106_D10,0.152340310342437,0.138205184310176,primary,Obergrundstrasse,50,luzern,1,37,8.3037329,47.0481425
ig11FD106_D11,0.15732674210093,0.143748989617071,primary,Obergrundstrasse,50,luzern,1,36,8.3037718,47.0481493
ig11FD106_D58,0.186311465256084,0.173652632995102,primary,Obergrundstrasse,50,luzern,1,34,8.3039569,47.0474941
ig11FD106_D60,0.186311465256084,0.161643642709108,primary,Obergrundstrasse,50,luzern,1,34,8.303985,47.0473881
ig11FD106_D26,0.09408698880369,0.021658804954135,primary,Obergrundstrasse,50,luzern,1,28,8.3040226,47.0474174
ig11FD106_D25,0.185329062553417,0.019950558663807,primary,Obergrundstrasse,50,luzern,1,29,8.3040788,47.0474256
ig11FD106_D19,0.115060639878884,0.02890622560551,primary,Pilatusstrasse,50,luzern,1,23,8.3044343,47.0480926
ig11FD106_D20,0.115885990812372,0.031076879819911,primary,Pilatusstrasse,50,luzern,1,25,8.3044624,47.0480753
ig11FD106_D21,0.056834764493528,0.032442919042649,primary,Pilatusstrasse,50,luzern,1,26,8.3044946,47.0480479
ig11FD106_D9,0.146324391488116,0.027953300857736,residential,Hallwilerweg,0,luzern,1,40,8.3033091,47.048036
ig11FD106_D8,0.151101788414536,0.047760746026058,primary,Hallwilerweg,50,luzern,1,39,8.3032407,47.0479921
ig11FD106_D7,0.069871410405913,0.031129211074886,primary,Hallwilerweg,50,luzern,1,38,8.3032045,47.0479711
ig11FD107_D15,0.158389085001162,0.025090817257963,primary,Hirschengraben,50,luzern,1,46,8.3015563,47.050262
ig11FD107_D16,0.159381791625789,0.025196257158019,primary,Hirschengraben,50,luzern,1,45,8.3015897,47.0502666
ig11FD107_D7,0.112101860673804,0.03732574809228,primary,Hirschengraben,50,luzern,1,41,8.3021196,47.0493423
ig11FD107_D8,0.113147077894069,0.039052750920179,primary,Hirschengraben,50,luzern,1,42,8.3021732,47.0493569
ig11FD107_D12,0.106536714227204,0.060995594902268,primary,Hirschengraben,50,luzern,1,44,8.3022241,47.0493747
ig11FD107_D11,0.106681743982075,0.061687286457183,primary,Hirschengraben,50,luzern,1,43,8.3022697,47.0493857
ig11FD107_D3,0.15732674210093,0.042875500943512,primary,Obergrundstrasse,50,luzern,1,36,8.3031629,47.0489407
ig11FD107_D4,0.152340310342437,0.038347850737361,primary,Obergrundstrasse,50,luzern,1,37,8.3031173,47.0489142
ig11FD109_D64,0.253531895222537,0.183202798673159,residential,Moosstrasse,30,luzern,1,31,8.3051457,47.0456678
ig11FD109_D63,0.262130645992206,0.068894776517536,residential,Moosstrasse,30,luzern,1,30,8.3051505,47.0456966
ig11FD109_D28,0.185329062553417,0.162410004668862,primary,Obergrundstrasse,50,luzern,1,29,8.304166,47.0461535
ig11FD109_D5,0.186063851183924,0.054391578337617,primary,Obergrundstrasse,50,luzern,1,35,8.3040708,47.0464304
ig11FD109_D6,0.186311465256084,0.071249051252736,primary,Obergrundstrasse,50,luzern,1,34,8.3041191,47.0464359
ig11FD109_D18,0.204412603455997,0.060899502515692,primary,Obergrundstrasse,50,luzern,1,32,8.3039233,47.0446694
ig11FD109_D16,0.204818407922284,0.088006847868461,primary,Obergrundstrasse,50,luzern,1,33,8.3039891,47.0446712
ig11FD120_D21,0.213573945974265,0.184496609689772,tertiary,Tribschenstrasse,0,luzern,1,75,8.3107898,47.044387
ig11FD120_D22,0.043679014114128,0.041636170684628,tertiary,Tribschenstrasse,0,luzern,1,76,8.3108662,47.0443194
ig11FD120_D23,0.044377326152805,0.042112221725993,tertiary,Tribschenstrasse,0,luzern,1,77,8.31083,47.044292
ig11FD120_D25,0.213573945974265,0.188955496644539,tertiary,Tribschenstrasse,0,luzern,1,75,8.3108354,47.0443606
ig11FD120_D3,0.159287860412283,0.04590174050975,tertiary,Tribschenstrasse,0,luzern,1,78,8.3124299,47.0438049
ig11FD115_D17,0.141129632245041,0.030244814094638,primary,Hirschengraben,50,luzern,1,48,8.3011445,47.0509871
ig11FD115_D19,0.139287969696805,0.028869875295942,primary,Hirschengraben,50,luzern,1,47,8.3011848,47.0510012
ig11FD115_D38,0.192995695139162,0.111934555438425,primary_link,Baselstrasse,50,luzern,1,53,8.299621,47.0518848
ig11FD115_D13,0.170677071363512,0.089248229415674,primary,Baselstrasse,50,luzern,1,54,8.2991222,47.0517697
ig11FD115_D43,0.284881700671092,0.075881789356326,motorway_link,,60,luzern,1,52,8.2995278,47.0521804
ig11FD115_D44,0.287119670772945,0.079583627152308,motorway_link,,60,luzern,1,51,8.2995668,47.0522019
ig11FD115_D37,0.344381162622287,0.212349500072899,motorway_link,,60,luzern,1,141,8.2996841,47.0521854
ig11FD117_D18,0.233038175073237,0.06981812150773,primary,Militärstrasse,0,luzern,1,49,8.2994615,47.0524422
ig11FD117_D15,0.098049129933507,0.072140929840679,primary,Militärstrasse,0,luzern,1,50,8.2994923,47.0524577
ig11FD117_D6,0.076411219768929,0.038323343203486,primary,Gütschstrasse,50,luzern,1,84,8.2982692,47.052412
ig11FD117_D3,0.086118091060246,0.047457740325571,primary,Gütschstrasse,50,luzern,1,85,8.2983027,47.0524102
ig11FD117_D9,0.103484036418108,0.042245438640898,tertiary,Geissmattbrücke,0,luzern,1,87,8.2989988,47.0535094
ig11FD117_D12,0.104877427433894,0.041134331826683,tertiary,Geissmattbrücke,0,luzern,1,86,8.299035,47.0534866
ig11FD117_D20,0.103484036418108,0.064411415726942,tertiary,Geissmattstrasse,0,luzern,1,87,8.2991396,47.0536839
ig11FD117_D21,0.104877427433894,0.064425936957191,tertiary,Geissmattstrasse,0,luzern,1,86,8.2991791,47.0536717
ig11FD117_D22,0.116352868235393,0.045517325175275,tertiary,Geissmattstrasse,0,luzern,1,88,8.2992341,47.0536629
ig11FD201_D17,0.199870758669144,0.170976507888524,primary,Seebrücke,50,luzern,1,55,8.3088619,47.0527474
ig11FD201_D18,0.187404162928914,0.159402879128266,primary,Seebrücke,50,luzern,1,56,8.3089082,47.0527519
ig11FD201_D20,0.198749965675916,0.194291102074406,primary,,50,luzern,1,57,8.3093628,47.0536657
ig11FD201_D19,0.198429167644962,0.192551165097992,primary,,50,luzern,1,58,8.309399,47.0536337
ig11FD202_D20,0.202545414913616,0.161173893536171,primary,Schweizerhofquai,50,luzern,1,60,8.3110982,47.0544341
ig11FD202_D21,0.205252095780649,0.162506056339662,primary,Schweizerhofquai,50,luzern,1,59,8.3111277,47.0544085
ig11FD202_D4,0.198749965675916,0.036046109486101,primary,,50,luzern,1,57,8.3111532,47.0543921
ig11FD202_D2,0.198429167644962,0.034315833697621,primary,,50,luzern,1,58,8.3111854,47.0543647
ig11FD202_D33,0.115849347228119,0.003224414804364,primary,Haldenstrasse,50,luzern,1,63,8.3130361,47.0547594
ig11FD202_D34,0.071353281015661,0.003221611976757,primary,Haldenstrasse,50,luzern,1,64,8.3130415,47.054731
ig11FD202_D35,0.459260321763591,0.445682355324886,primary,Haldenstrasse,50,luzern,1,62,8.3130455,47.0547
ig11FD202_D19,0.050655469021613,0.029190867602003,primary,Alpenstrasse,50,luzern,1,71,8.3110178,47.0554058
ig11FD202_D18,0.05064072584396,0.029999273564603,primary,Alpenstrasse,50,luzern,1,70,8.3109822,47.055394
ig11FD202_D17,0.051626187868989,0.030622723789976,primary,Alpenstrasse,50,luzern,1,61,8.3109419,47.0553798
ig11FD203_D24,0.063486722433732,0.030182822263304,primary,Zürichstrasse,50,luzern,1,74,8.3106638,47.0558156
ig11FD203_D23,0.065588637339499,0.030540874711401,primary,Zürichstrasse,50,luzern,1,73,8.3106275,47.0558019
ig11FD203_D22,0.068255740030555,0.031172759520156,primary,Zürichstrasse,50,luzern,1,72,8.310586,47.0557909
ig11FD203_D5,0.101960923681264,0.064132932047789,residential,Stadthofstrasse,50,luzern,1,69,8.3126646,47.0561016
ig11FD203_D6,0.101305998063575,0.062098768566229,residential,Stadthofstrasse,50,luzern,1,68,8.312666,47.0560723
ig11FD203_D17,0.050655469021613,0.032320452782332,primary,Alpenstrasse,50,luzern,1,71,8.310999,47.0554309
ig11FD203_D11,0.090531213271818,0.039336239909707,residential,Gotthardstrasse,0,luzern,1,67,8.3120799,47.0554108
ig11FD203_D29,0.101216457238661,0.035814389209882,residential,Dreilindenstrasse,50,luzern,1,65,8.3123159,47.0552491
ig11FD203_D30,0.036857017870851,0.030518361952775,residential,Dreilindenstrasse,50,luzern,1,66,8.3122904,47.0554355
ig11FD100_D36,0.495685278957352,0.450242335583379,secondary,Zentralstrasse,0,luzern,1,93,8.3093373,47.0496689
ig11FD104_D15,0.056206039626046,0.016711235525284,primary,Pilatusstrasse,50,luzern,1,22,8.3059946,47.0486391
ig11FD110_D11,0.057364364321032,0.003278590513001,residential,Bireggstrasse,30,luzern,1,96,8.30358,47.0425867
ig11FD110_D13,0.205168512642986,0.003126276025209,residential,Bireggstrasse,30,luzern,1,97,8.3035686,47.0425615
ig11FD110_D21,0.220275176324455,0.015898538798606,primary,Obergrundstrasse,50,luzern,1,101,8.3035518,47.0435988
ig11FD110_D22,0.221935301291718,0.017253288954499,primary,Obergrundstrasse,50,luzern,1,102,8.3035988,47.0435974
ig11FD110_D27,0.226912256156767,0.045321412046005,secondary,Bundesstrasse,0,luzern,1,100,8.3041896,47.043459
ig11FD110_D28,0.26016617357169,0.258492778813635,secondary,Bundesstrasse,0,luzern,1,99,8.303531,47.0429728
ig11FD110_D29,0.046260208794572,0.044840921882051,primary,Obergrundstrasse,50,luzern,1,104,8.3034707,47.0429856
ig11FD110_D3,0.245771285437895,0.012052770052067,primary,Obergrundstrasse,50,luzern,1,94,8.3029443,47.0422271
ig11FD110_D4,0.244602289708963,0.011683149378087,primary,Obergrundstrasse,50,luzern,1,95,8.3029054,47.0422353
ig11FD110_D30,0.215281881073951,0.200844925226532,residential,Bireggstrasse,30,luzern,1,98,8.3035652,47.0425268
ig11FD110_D33,0.040362185637327,0.015052309835034,residential,Taubenhausstrasse,0,luzern,1,103,8.3030348,47.0432753
ig11FD111_D21,0.081006436497063,0.042903535488881,primary,Obergrundstrasse,50,luzern,1,107,8.3010493,47.0399637
ig11FD111_D22,0.079530208152609,0.042239149673696,primary,Obergrundstrasse,50,luzern,1,108,8.3010198,47.0399856
ig11FD111_D26,0.271072459779668,0.089994152559402,primary,Obergrundstrasse,50,luzern,1,111,8.3000006,47.0394153
ig11FD111_D35,0.244131447763048,0.062876686836925,primary,Obergrundstrasse,50,luzern,1,110,8.2999831,47.0394428
ig11FD111_D36,0.243922733174757,0.062320074309695,primary,Obergrundstrasse,50,luzern,1,109,8.2999644,47.0394775
ig11FD111_D7,0.252542931515482,0.079533946706199,primary,Obergrundstrasse,50,luzern,1,106,8.3019881,47.0410294
ig11FD111_D8,0.249862541517552,0.079056323447978,primary,Obergrundstrasse,50,luzern,1,105,8.3020498,47.0410211
ig11FD115_D5,0.284881700671092,0.031431440707425,motorway_link,,50,luzern,1,52,8.2999429,47.0518985
ig11FD115_D6,0.287119670772945,0.035610544110151,motorway_link,,50,luzern,1,51,8.2999858,47.0519287
ig11FD121_D3,0.145791655160074,0.076219194661937,tertiary,Tribschenstrasse,0,luzern,1,112,8.312619,47.0436477
ig11FD121_D6,0.078839289647672,0.073477224750461,tertiary,Tribschenstrasse,0,luzern,1,113,8.3126593,47.0437007
ig11FD125_D4,0.288205777794431,0.077030700049945,tertiary,Langensandstrasse,0,luzern,1,114,8.3246595,47.0386631
ig11FD203_D27,0.05887342125952,0.003119047866098,residential,Stadthofstrasse,50,luzern,1,115,8.3110835,47.0555387
ig11FD205_D2,0.323330699911062,0.070956621086687,primary,Zürichstrasse,50,luzern,1,119,8.3091348,47.0603765
ig11FD205_D81,0.142414276522027,0.00423014707327,residential,Wesemlinstrasse,30,luzern,1,118,8.3092488,47.0603491
ig11FD205_D84,0.043460853855976,0.02892013704406,primary,Maihofstrasse,50,luzern,1,120,8.3089551,47.061143
ig11FD205_D85,0.045374173000562,0.029392927059041,primary,Maihofstrasse,50,luzern,1,121,8.3088995,47.0611462
ig11FD205_D86,0.17291814831752,0.105613845130852,secondary,,0,luzern,1,125,8.3077924,47.0616299
ig11FD205_D87,0.066566182878462,0.03909875297726,primary,Maihofstrasse,50,luzern,1,124,8.309157,47.0620607
ig11FD205_D88,0.067597415773181,0.039198406727375,primary,Maihofstrasse,50,luzern,1,123,8.3092086,47.0620483
ig11FD205_D89,0.096174324367405,0.047652832673765,primary,Maihofstrasse,50,luzern,1,122,8.3090839,47.0617468
ig11FD205_D90,0.242803496019843,0.03248012234603,primary,Maihofstrasse,50,luzern,1,128,8.3098617,47.0630103
ig11FD205_D91,0.243634642711283,0.033253218233872,primary,Maihofstrasse,50,luzern,1,127,8.3099046,47.0630057
ig11FD205_D92,0.456901461577564,0.425821285109001,tertiary,Hünenbergstrasse,30,luzern,1,126,8.3098228,47.06202
ig11FD207_D5,0.115729930455784,0.008032020544119,primary,Luzernerstrasse,50,luzern,1,117,8.3148801,47.0674509
ig11FD207_D6,0.135620531975484,0.112686672434179,primary,Luzernerstrasse,50,luzern,1,116,8.314907,47.0674262
ig11FD208_D1,0.258418344102651,0.015820900974156,secondary,Friedentalstrasse,50,luzern,1,129,8.3035411,47.0602613
ig11FD208_D2,0.27868346969924,0.244903502955428,secondary,Friedentalstrasse,50,luzern,1,130,8.3035545,47.0602257
ig11FD208_D4,0.491601552048708,0.471814830626315,secondary,Spitalstrasse,0,luzern,1,131,8.3028585,47.0599882
ig11FD208_D3,0.496167132968515,0.021904595183005,secondary,Spitalstrasse,0,luzern,1,132,8.3028974,47.0599708
ig11FD211_D11,0.339674932170306,0.003868783427971,residential,Kreuzbuchstrasse,30,luzern,1,134,8.327685,47.0555895
ig11FD211_D14,0.611697595199228,0.044876022695565,primary,Haldenstrasse,50,luzern,1,135,8.3277574,47.0552893
ig11FD211_D15,0.508969795942132,0.438948915332105,primary,Haldenstrasse,50,luzern,1,136,8.3254521,47.0555497
ig11FD211_D2,0.531855899235778,0.081223622186951,primary,Haldenstrasse,50,luzern,1,137,8.3256157,47.055483
ig11FD211_D9,0.127278063594689,0.002899939176786,residential,Bellerivestrasse,30,luzern,1,133,8.3274262,47.0557946
ig11FD218_D1,0.054885629396103,0.002518574440803,other,St. Karli-Quai,0,luzern,1,138,8.2992764,47.0533545
ig11FD218_D3,0.219466253440513,0.001785668306002,other,St. Karli-Quai,30,luzern,1,140,8.2999617,47.0530347
ig11FD218_D6,0.075639749082396,0.038336356989692,other,St. Karli-Quai,30,luzern,1,139,8.2995024,47.0532271