detid_Y,PGR01_101724_G181_Hoendiep_O_ID_8648_1,PGR01_101724_G181_Hoendiep_W_ID_8649_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,PGR01_101727_Hereweg_N_ID_8611_1,PGR01_101727_Hereweg_N_ID_8611_2,PGR01_101727_Hereweg_Z_ID_8610_1,PGR01_101727_Hereweg_Z_ID_8610_2,PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,PGR01_101733_G185_Rijksweg_O_ID_8644_1,PGR01_101733_G185_Rijksweg_W_ID_8645_1,PGR01_101734_Damsterdiep_O_ID_8653_1,PGR01_101734_Damsterdiep_W_ID_8652_1,PGR01_101735_G506_Bedumerweg_N_ID_8791_1,PGR01_101735_G506_Bedumerweg_N_ID_8791_2,PGR01_101735_G506_Bedumerweg_Z_ID_8792_1,PGR01_101735_G506_Bedumerweg_Z_ID_8792_2,PGR01_101736_G114_Bedumerweg_N_ID_8654_1,PGR01_101736_G114_Bedumerweg_Z_ID_8655_1,PGR01_101737_JCKapteynlaan_N_ID_8722_1,PGR01_101737_JCKapteynlaan_Z_ID_8723_1,PGR01_101738_G213_PetrusCampersingel_N_ID_8656_1,PGR01_101738_G213_PetrusCampersingel_Z_ID_8657_1,PGR01_101739_Schuitendiep_Z_V1_ID_8638_1,PGR01_101741_Lopendediep_NO_ID_8724_1,PGR01_101741_Lopendediep_NO_ID_8724_2,PGR01_101742_Lopendediep_ZW_ID_8699_1,PGR01_101742_Lopendediep_ZW_ID_8699_2,PGR01_101743_Westersingel_N_ID_8641_1,PGR01_101743_Westersingel_Z_ID_8640_1,PGR01_101746_Eendrachtskade_W_ID_8725_1,PGR01_101747_Eendrachtskade_O_ID_8726_1,PGR01_101749_Stationsweg_O_ID_8702_1,PGR01_101749_Stationsweg_W_V1_ID_8703_1,PGR01_101749_Stationsweg_W_V1_ID_8703_2,PGR01_101749_Stationsweg_W_V1_ID_8703_3,PGR01_101750_Zuiderpark_O_ID_8661_1,PGR01_101750_Zuiderpark_O_ID_8661_2,PGR01_101750_Zuiderpark_W_ID_8662_1,PGR01_101751_G460_Griffeweg_O_ID_8647_1,PGR01_101751_G460_Griffeweg_W_ID_8646_1,PGR01_101752_Europaweg_NW_ID_8704_1,PGR01_101752_Europaweg_NW_ID_8704_2,PGR01_101752_Europaweg_NW_ID_8704_3,PGR01_101753_Europaweg_ZO_ID_8705_1,PGR01_101753_Europaweg_ZO_ID_8705_2,PGR01_101753_Europaweg_ZO_ID_8705_3,PGR01_101761_Sontweg_NO_ID_8812_1,PGR01_101761_Sontweg_ZW_ID_8811_1
PGR01_101724_G181_Hoendiep_O_ID_8648_1,0.00,0.00,2473.65,2473.65,2084.79,2084.79,2084.79,2519.63,2519.63,2519.63,2519.63,3771.17,3771.17,3089.18,3089.18,4183.51,4183.51,3555.27,3555.27,3902.75,3902.75,3902.75,3902.75,2872.24,2872.24,3041.97,3031.82,2997.37,2997.37,2676.07,1914.83,1914.83,1712.14,1712.14,1030.87,1030.87,741.93,741.93,1349.70,1349.70,1349.70,1349.70,2081.74,2081.74,2081.74,2748.66,2748.66,2983.92,2983.92,2983.92,2913.97,2913.97,2913.97,3133.06,3133.06
PGR01_101724_G181_Hoendiep_W_ID_8649_1,0.00,0.00,2473.65,2473.65,2084.79,2084.79,2084.79,2519.63,2519.63,2519.63,2519.63,3771.17,3771.17,3089.18,3089.18,4183.51,4183.51,3555.27,3555.27,3902.75,3902.75,3902.75,3902.75,2872.24,2872.24,3041.97,3031.82,2997.37,2997.37,2676.07,1914.83,1914.83,1712.14,1712.14,1030.87,1030.87,741.93,741.93,1349.70,1349.70,1349.70,1349.70,2081.74,2081.74,2081.74,2748.66,2748.66,2983.92,2983.92,2983.92,2913.97,2913.97,2913.97,3133.06,3133.06
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_1,2061.33,2061.33,0.00,0.00,2505.49,2505.49,2505.49,3092.36,3092.36,3092.36,3092.36,4343.90,4343.90,3661.90,3661.90,4893.49,4893.49,4265.25,4265.25,5267.86,5267.86,5267.86,5267.86,4237.35,4237.35,4407.08,4396.92,4305.26,4305.26,3464.93,3279.94,3279.94,3077.24,3077.24,2395.97,2395.97,2092.22,2092.22,1922.43,1922.43,1922.43,1922.43,2654.47,2654.47,2654.47,3321.39,3321.39,3556.64,3556.64,3556.64,3486.69,3486.69,3486.69,3705.78,3705.78
PGR01_101725_G172_Emmaviaduct_Z_ID_8650_2,2061.33,2061.33,0.00,0.00,2505.49,2505.49,2505.49,3092.36,3092.36,3092.36,3092.36,4343.90,4343.90,3661.90,3661.90,4893.49,4893.49,4265.25,4265.25,5267.86,5267.86,5267.86,5267.86,4237.35,4237.35,4407.08,4396.92,4305.26,4305.26,3464.93,3279.94,3279.94,3077.24,3077.24,2395.97,2395.97,2092.22,2092.22,1922.43,1922.43,1922.43,1922.43,2654.47,2654.47,2654.47,3321.39,3321.39,3556.64,3556.64,3556.64,3486.69,3486.69,3486.69,3705.78,3705.78
PGR01_101726_G172_Emmaviaduct_N_ID_8651_1,1922.41,1922.41,2237.76,2237.76,0.00,0.00,0.00,1439.74,1439.74,1439.74,1439.74,2691.28,2691.28,2009.29,2009.29,3240.88,3240.88,2612.64,2612.64,3948.06,3948.06,3948.06,3948.06,2917.55,2917.55,3047.03,3036.87,2652.64,2652.64,1812.32,1940.54,1940.54,1737.85,1737.85,1425.93,1425.93,1198.70,1198.70,269.81,269.81,269.81,269.81,1001.85,1001.85,1001.85,1668.77,1668.77,1904.03,1904.03,1904.03,1834.08,1834.08,1834.08,2053.16,2053.16
PGR01_101726_G172_Emmaviaduct_N_ID_8651_2,1922.41,1922.41,2237.76,2237.76,0.00,0.00,0.00,1439.74,1439.74,1439.74,1439.74,2691.28,2691.28,2009.29,2009.29,3240.88,3240.88,2612.64,2612.64,3948.06,3948.06,3948.06,3948.06,2917.55,2917.55,3047.03,3036.87,2652.64,2652.64,1812.32,1940.54,1940.54,1737.85,1737.85,1425.93,1425.93,1198.70,1198.70,269.81,269.81,269.81,269.81,1001.85,1001.85,1001.85,1668.77,1668.77,1904.03,1904.03,1904.03,1834.08,1834.08,1834.08,2053.16,2053.16
PGR01_101726_G172_Emmaviaduct_N_ID_8651_3,1922.41,1922.41,2237.76,2237.76,0.00,0.00,0.00,1439.74,1439.74,1439.74,1439.74,2691.28,2691.28,2009.29,2009.29,3240.88,3240.88,2612.64,2612.64,3948.06,3948.06,3948.06,3948.06,2917.55,2917.55,3047.03,3036.87,2652.64,2652.64,1812.32,1940.54,1940.54,1737.85,1737.85,1425.93,1425.93,1198.70,1198.70,269.81,269.81,269.81,269.81,1001.85,1001.85,1001.85,1668.77,1668.77,1904.03,1904.03,1904.03,1834.08,1834.08,1834.08,2053.16,2053.16
PGR01_101727_Hereweg_N_ID_8611_1,2849.02,2849.02,3164.37,3164.37,1257.40,1257.40,1257.40,0.00,0.00,0.00,0.00,1435.21,1435.21,1712.62,1712.62,3171.34,3171.34,2543.10,2543.10,3962.62,3962.62,3962.62,3962.62,2932.11,2932.11,3016.21,3006.05,2583.11,2583.11,1775.86,2164.50,2164.50,2328.02,2328.02,2352.55,2352.55,2125.31,2125.31,1168.70,1168.70,1168.70,1168.70,705.19,705.19,705.19,1372.11,1372.11,1607.36,1607.36,1607.36,1537.41,1537.41,1537.41,1756.50,1756.50
PGR01_101727_Hereweg_N_ID_8611_2,2849.02,2849.02,3164.37,3164.37,1257.40,1257.40,1257.40,0.00,0.00,0.00,0.00,1435.21,1435.21,1712.62,1712.62,3171.34,3171.34,2543.10,2543.10,3962.62,3962.62,3962.62,3962.62,2932.11,2932.11,3016.21,3006.05,2583.11,2583.11,1775.86,2164.50,2164.50,2328.02,2328.02,2352.55,2352.55,2125.31,2125.31,1168.70,1168.70,1168.70,1168.70,705.19,705.19,705.19,1372.11,1372.11,1607.36,1607.36,1607.36,1537.41,1537.41,1537.41,1756.50,1756.50
PGR01_101727_Hereweg_Z_ID_8610_1,2849.02,2849.02,3164.37,3164.37,1257.40,1257.40,1257.40,0.00,0.00,0.00,0.00,1435.21,1435.21,1712.62,1712.62,3171.34,3171.34,2543.10,2543.10,3962.62,3962.62,3962.62,3962.62,2932.11,2932.11,3016.21,3006.05,2583.11,2583.11,1775.86,2164.50,2164.50,2328.02,2328.02,2352.55,2352.55,2125.31,2125.31,1168.70,1168.70,1168.70,1168.70,705.19,705.19,705.19,1372.11,1372.11,1607.36,1607.36,1607.36,1537.41,1537.41,1537.41,1756.50,1756.50
PGR01_101727_Hereweg_Z_ID_8610_2,2849.02,2849.02,3164.37,3164.37,1257.40,1257.40,1257.40,0.00,0.00,0.00,0.00,1435.21,1435.21,1712.62,1712.62,3171.34,3171.34,2543.10,2543.10,3962.62,3962.62,3962.62,3962.62,2932.11,2932.11,3016.21,3006.05,2583.11,2583.11,1775.86,2164.50,2164.50,2328.02,2328.02,2352.55,2352.55,2125.31,2125.31,1168.70,1168.70,1168.70,1168.70,705.19,705.19,705.19,1372.11,1372.11,1607.36,1607.36,1607.36,1537.41,1537.41,1537.41,1756.50,1756.50
PGR01_101731_G275/6_Europaweg_NW_ID_8637_1,3694.64,3694.64,4009.99,4009.99,2749.40,2749.40,2749.40,1964.38,1964.38,1964.38,1964.38,0.00,0.00,804.85,804.85,2272.64,2272.64,1738.16,1738.16,3691.38,3691.38,3691.38,3691.38,3058.21,3058.21,2322.24,2312.09,1778.17,1778.17,1780.55,2445.32,2445.32,2608.84,2608.84,3091.35,3091.35,2970.93,2970.93,2014.32,2014.32,2014.32,2014.32,1270.91,1270.91,1270.91,647.94,647.94,942.78,942.78,942.78,872.83,872.83,872.83,848.73,848.73
PGR01_101731_G275/6_Europaweg_NW_ID_8637_2,3694.64,3694.64,4009.99,4009.99,2749.40,2749.40,2749.40,1964.38,1964.38,1964.38,1964.38,0.00,0.00,804.85,804.85,2272.64,2272.64,1738.16,1738.16,3691.38,3691.38,3691.38,3691.38,3058.21,3058.21,2322.24,2312.09,1778.17,1778.17,1780.55,2445.32,2445.32,2608.84,2608.84,3091.35,3091.35,2970.93,2970.93,2014.32,2014.32,2014.32,2014.32,1270.91,1270.91,1270.91,647.94,647.94,942.78,942.78,942.78,872.83,872.83,872.83,848.73,848.73
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_1,4380.74,4380.74,4696.09,4696.09,3435.51,3435.51,3435.51,2650.48,2650.48,2650.48,2650.48,686.10,686.10,0.00,0.00,2947.63,2947.63,2424.26,2424.26,4377.48,4377.48,4377.48,4377.48,3744.31,3744.31,3008.34,2998.19,2464.28,2464.28,2466.65,3131.42,3131.42,3294.94,3294.94,3777.45,3777.45,3657.03,3657.03,2700.42,2700.42,2700.42,2700.42,1957.01,1957.01,1957.01,1334.04,1334.04,1628.89,1628.89,1628.89,1558.93,1558.93,1558.93,1523.72,1523.72
PGR01_101732_G275/6_Europaweg_ZO_ID_8613_2,4380.74,4380.74,4696.09,4696.09,3435.51,3435.51,3435.51,2650.48,2650.48,2650.48,2650.48,686.10,686.10,0.00,0.00,2947.63,2947.63,2424.26,2424.26,4377.48,4377.48,4377.48,4377.48,3744.31,3744.31,3008.34,2998.19,2464.28,2464.28,2466.65,3131.42,3131.42,3294.94,3294.94,3777.45,3777.45,3657.03,3657.03,2700.42,2700.42,2700.42,2700.42,1957.01,1957.01,1957.01,1334.04,1334.04,1628.89,1628.89,1628.89,1558.93,1558.93,1558.93,1523.72,1523.72
PGR01_101733_G185_Rijksweg_O_ID_8644_1,4773.92,4773.92,5089.28,5089.28,3828.69,3828.69,3828.69,3178.25,3178.25,3178.25,3178.25,2594.36,2594.36,1908.25,1908.25,0.00,0.00,1454.85,1454.85,3117.66,3117.66,3117.66,3117.66,3195.63,3195.63,2444.03,2449.51,2004.36,2004.36,2330.31,2995.08,2995.08,3158.60,3158.60,3663.07,3663.07,3979.38,3979.38,3093.60,3093.60,3093.60,3093.60,2484.78,2484.78,2484.78,1869.79,1869.79,1856.52,1856.52,1856.52,1926.47,1926.47,1926.47,1443.33,1443.33
PGR01_101733_G185_Rijksweg_W_ID_8645_1,4773.92,4773.92,5089.28,5089.28,3828.69,3828.69,3828.69,3178.25,3178.25,3178.25,3178.25,2594.36,2594.36,1908.25,1908.25,0.00,0.00,1454.85,1454.85,3117.66,3117.66,3117.66,3117.66,3195.63,3195.63,2444.03,2449.51,2004.36,2004.36,2330.31,2995.08,2995.08,3158.60,3158.60,3663.07,3663.07,3979.38,3979.38,3093.60,3093.60,3093.60,3093.60,2484.78,2484.78,2484.78,1869.79,1869.79,1856.52,1856.52,1856.52,1926.47,1926.47,1926.47,1443.33,1443.33
PGR01_101734_Damsterdiep_O_ID_8653_1,4145.68,4145.68,4461.04,4461.04,3200.45,3200.45,3200.45,2550.01,2550.01,2550.01,2550.01,2113.01,2113.01,1426.90,1426.90,1454.85,1454.85,0.00,0.00,3001.41,3001.41,3001.41,3001.41,2591.19,2591.19,1855.22,1845.07,1311.15,1311.15,1702.07,2318.21,2318.21,2481.73,2481.73,2986.20,2986.20,3351.14,3351.14,2465.36,2465.36,2465.36,2465.36,1856.54,1856.54,1856.54,1319.42,1319.42,1614.27,1614.27,1614.27,1544.32,1544.32,1544.32,1470.78,1470.78
PGR01_101734_Damsterdiep_W_ID_8652_1,4145.68,4145.68,4461.04,4461.04,3200.45,3200.45,3200.45,2550.01,2550.01,2550.01,2550.01,2113.01,2113.01,1426.90,1426.90,1454.85,1454.85,0.00,0.00,3001.41,3001.41,3001.41,3001.41,2591.19,2591.19,1855.22,1845.07,1311.15,1311.15,1702.07,2318.21,2318.21,2481.73,2481.73,2986.20,2986.20,3351.14,3351.14,2465.36,2465.36,2465.36,2465.36,1856.54,1856.54,1856.54,1319.42,1319.42,1614.27,1614.27,1614.27,1544.32,1544.32,1544.32,1470.78,1470.78
PGR01_101735_G506_Bedumerweg_N_ID_8791_1,4244.13,4244.13,5155.82,5155.82,4359.49,4359.49,4359.49,3818.05,3818.05,3818.05,3818.05,3822.64,3822.64,3136.54,3136.54,2922.38,2922.38,2752.40,2752.40,0.00,0.00,0.00,0.00,788.00,788.00,1126.03,1136.18,1656.14,1656.14,2360.28,2108.28,2108.28,2051.29,2051.29,2776.27,2776.27,3424.10,3424.10,3624.40,3624.40,3624.40,3624.40,3312.54,3312.54,3312.54,3029.05,3029.05,3323.90,3323.90,3323.90,3253.95,3253.95,3253.95,3180.41,3180.41
PGR01_101735_G506_Bedumerweg_N_ID_8791_2,4244.13,4244.13,5155.82,5155.82,4359.49,4359.49,4359.49,3818.05,3818.05,3818.05,3818.05,3822.64,3822.64,3136.54,3136.54,2922.38,2922.38,2752.40,2752.40,0.00,0.00,0.00,0.00,788.00,788.00,1126.03,1136.18,1656.14,1656.14,2360.28,2108.28,2108.28,2051.29,2051.29,2776.27,2776.27,3424.10,3424.10,3624.40,3624.40,3624.40,3624.40,3312.54,3312.54,3312.54,3029.05,3029.05,3323.90,3323.90,3323.90,3253.95,3253.95,3253.95,3180.41,3180.41
PGR01_101735_G506_Bedumerweg_Z_ID_8792_1,4244.13,4244.13,5155.82,5155.82,4359.49,4359.49,4359.49,3818.05,3818.05,3818.05,3818.05,3822.64,3822.64,3136.54,3136.54,2922.38,2922.38,2752.40,2752.40,0.00,0.00,0.00,0.00,788.00,788.00,1126.03,1136.18,1656.14,1656.14,2360.28,2108.28,2108.28,2051.29,2051.29,2776.27,2776.27,3424.10,3424.10,3624.40,3624.40,3624.40,3624.40,3312.54,3312.54,3312.54,3029.05,3029.05,3323.90,3323.90,3323.90,3253.95,3253.95,3253.95,3180.41,3180.41
PGR01_101735_G506_Bedumerweg_Z_ID_8792_2,4244.13,4244.13,5155.82,5155.82,4359.49,4359.49,4359.49,3818.05,3818.05,3818.05,3818.05,3822.64,3822.64,3136.54,3136.54,2922.38,2922.38,2752.40,2752.40,0.00,0.00,0.00,0.00,788.00,788.00,1126.03,1136.18,1656.14,1656.14,2360.28,2108.28,2108.28,2051.29,2051.29,2776.27,2776.27,3424.10,3424.10,3624.40,3624.40,3624.40,3624.40,3312.54,3312.54,3312.54,3029.05,3029.05,3323.90,3323.90,3323.90,3253.95,3253.95,3253.95,3180.41,3180.41
PGR01_101736_G114_Bedumerweg_N_ID_8654_1,3456.13,3456.13,4367.82,4367.82,3571.49,3571.49,3571.49,3030.05,3030.05,3030.05,3030.05,3350.60,3350.60,2664.50,2664.50,3195.65,3195.65,2573.62,2573.62,1030.51,1030.51,1030.51,1030.51,0.00,0.00,773.99,784.14,1304.10,1304.10,1572.28,1320.28,1320.28,1263.29,1263.29,1988.27,1988.27,2636.10,2636.10,2836.40,2836.40,2836.40,2836.40,2524.54,2524.54,2524.54,2557.02,2557.02,2851.86,2851.86,2851.86,2781.91,2781.91,2781.91,2708.38,2708.38
